sample_id	sample_type	true_age	age_source	radiocarbon_error_1sigma	cal_bp_95	fam_alias
aCM_H_AVE013_aCM_N_AVE013	ancient	339	conventional radiocarbon age BP			aCM_H_AVE013
aPM_L_38_aPM_L_38	ancient	965	conventional radiocarbon age BP	20	912 to 769	aPM_L_38
aBRM_L_Z2_aBRM_L_Z2	ancient	570	conventional radiocarbon age BP	60		aBRM_L_Z2
aCM_H_C4_aCM_H_C4	ancient	1580	conventional radiocarbon age BP	15	1512 to 1366	aCM_H_C4
aPM_L_Arica5_aPM_L_Arica5	ancient	780	conventional radiocarbon age BP	30		aPM_L_Arica5
aAM_H_LVV104_aAM_H_LVV104	ancient	1165	conventional radiocarbon age BP	15	1057 to 962	aAM_H_LVV104
aPM_L_125_aPM_L_125	ancient	1635	conventional radiocarbon age BP	15	1531 to 1425	aPM_L_125
aPM_L_123_aPM_L_123	ancient	1610	conventional radiocarbon age BP	15	1526 to 1408	aPM_L_123
aPM_L_SmacaA_aPM_L_SmacaA	ancient	1045	conventional radiocarbon age BP	15	959 to 813	aPM_L_SmacaA
aPM_L_Z61_aPM_L_Z61	ancient	800	conventional radiocarbon age BP	30		aPM_L_Z61
aCM_H_C1_aCM_H_C1	ancient	1590	conventional radiocarbon age BP	15	1514 to 1372	aCM_H_C1
MM_N_LC39_MM_N_LC39	modern	50	assumed modern age			MM_N_LC39
aPM_L_169_aPM_L_169	ancient	1700	conventional radiocarbon age BP	15	1588 to 1530	aPM_L_169
aPM_L_174_aPM_L_174	ancient	380	conventional radiocarbon age BP	15	487 to 322	aPM_L_174
aCM_H_C6_aCM_H_C6	ancient	1745	conventional radiocarbon age BP	15	1698 to 1539	aCM_H_C6
aPM_H_Tipo2_aPM_H_Tipo2	ancient	685	conventional radiocarbon age BP	15	656 to 558	aPM_H_Tipo2
aBM_H_2_aBM_H_2	ancient	400	conventional radiocarbon age BP	26	412 to 323	aBM_H_2
aCM_H_C7_aCM_H_C7	ancient	1605	conventional radiocarbon age BP	15	1522 to 1379	aCM_H_C7
mBRM_L_C46_mBRM_L_C46	modern	50	assumed modern age			mBRM_L_C46
aPM_L_176_aPM_L_176	ancient	350	conventional radiocarbon age BP	15	446 to 310	aPM_L_176
