sample_id	radiocarbon_age_bp	radiocarbon_error_1sigma	cal_bp_95	calibration	workbook_row	publication_name	fam_alias
aAM_H_LVV53_aAM_H_LVV53	235	15	288 to 149	SHCal 20	124	aAM_LVV53	aAM_H_LVV53
aAM_H_LVV45_aAM_H_LVV45	265	15	308 to 152	SHCal 20	117	aAM_LVV45	aAM_H_LVV45
aCM_H_AVE012_aCM_N_AVE012	280	29			10	aCM_AVE012	aCM_H_AVE012
aCM_H_AVE013_aCM_N_AVE013	339				11	aCM_AVE013	aCM_H_AVE013
aPM_L_179_aPM_L_179	340	15	443 to 307	SHCal 20	777	aPM_179	aPM_L_179
aPM_L_176_aPM_L_176	350	15	446 to 310	SHCal 20	766	aPM_176	aPM_L_176
aPM_L_175_aPM_L_175	365	15	452 to 317	SHCal 20	759	aPM_175	aPM_L_175
aPM_L_178_aPM_L_178	370	15	454 to 320	SHCal 20	775	aPM_178	aPM_L_178
aPM_L_174_aPM_L_174	380	15	487 to 322	SHCal 20	752	aPM_174	aPM_L_174
aBM_H_1_aBM_H_1	400	26	412 to 323	SHCal 20	1172	aBM_1	aBM_H_1
aBRM_L_Z2_aBRM_L_Z2	570	60		SHCal 13	1178	aBRM_Z2	aBRM_L_Z2
aBRM_L_Z6_aBRM_L_Z6	630	60		SHCal 13	1179	aBRM_Z6	aBRM_L_Z6
aPM_H_Z64_aPM_H_Z64	630	30	573 to 535	SHCal 13	1181	aPM_Z64	aPM_H_Z64
aPM_H_Tipo1_aPM_H_Tipo1	645	15	633 to 550	SHCal 20	138	aPM_Tipo1	aPM_H_Tipo1
aPM_H_Tipo2_aPM_H_Tipo2	685	15	656 to 558	SHCal 20	143	aPM_Tipo2	aPM_H_Tipo2
aPM_H_Tipo3_aPM_H_Tipo3	710	15	662 to 564	SHCal 20	148	aPM_Tipo3	aPM_H_Tipo3
aPM_L_Arica5_aPM_L_Arica5	780	30		SHCal 13	1186	aPM_Arica5	aPM_L_Arica5
aPM_L_Z61_aPM_L_Z61	800	30		SHCal 13	1180	aPM_Z61	aPM_L_Z61
aPM_L_46_aPM_L_46	850	15	738 to 676	SHCal 20	274	aPM_46	aPM_L_46
aPM_L_53_aPM_L_53	850	15	738 to 676	SHCal 20	309	aPM_53	aPM_L_53
aPM_L_56_aPM_L_56	860	20	765 to 678	SHCal 20	355	aPM_56	aPM_L_56
aPM_L_50_aPM_L_50	865	15	767 to 680	SHCal 20	293	aPM_50	aPM_L_50
aPM_L_55_aPM_L_55	875	15	787 to 682	SHCal 20	339	aPM_55	aPM_L_55
aPM_L_38_aPM_L_38	965	20	912 to 769	SHCal 20	262	aPM_38	aPM_L_38
aPM_L_Z65_aPM_L_Z65	970	30		SHCal 13	1182	aPM_Z65	aPM_L_Z65
aPM_L_Arica4_aPM_L_Arica4	990	30		SHCal 13	1185	aPM_Arica4	aPM_L_Arica4
aAM_H_Z66_aAM_H_Z66	1010	30		SHCal 13	1183	aAM_Z66	aAM_H_Z66
aPM_L_SmacaA_aPM_L_SmacaA	1045	15	959 to 813	SHCal 20	149	aPM_SmacaA	aPM_L_SmacaA
aAM_H_LVV373_aAM_H_LVV373	1060	15	960 to 909	SHCal 20	107	aAM_LVV373	aAM_H_LVV373
aPM_L_197_aPM_L_197	1070	15	959 to 923	SHCal 20	809	aPM_197	aPM_L_197
aPM_L_196_aPM_L_196	1075	15	959 to 925	SHCal 20	808	aPM_196	aPM_L_196
aPM_L_195_aPM_L_195	1090	15	960 to 926	SHCal 20	793	aPM_195	aPM_L_195
aAM_H_LVV353_aAM_H_LVV353	1105	15	1045 to 926	SHCal 20	101	aAM_LVV353	aAM_H_LVV353
aAM_H_LVV104_aAM_H_LVV104	1165	15	1057 to 962	SHCal 20	88	aAM_LVV104	aAM_H_LVV104
aPM_L_194_aPM_L_194	1320	15	1271 to 1175	SHCal 20	792	aPM_194	aPM_L_194
aCM_H_C4_aCM_H_C4	1580	15	1512 to 1366	SHCal 20	41	aCM_C4	aCM_H_C4
aCM_H_C1_aCM_H_C1	1590	15	1514 to 1372	SHCal 20	15	aCM_C1	aCM_H_C1
aCM_H_C7_aCM_H_C7	1605	15	1522 to 1379	SHCal 20	69	aCM_C7	aCM_H_C7
aPM_L_123_aPM_L_123	1610	15	1526 to 1408	SHCal 20	520	aPM_123	aPM_L_123
aPM_L_120_aPM_L_120	1625	15	1529 to 1419	SHCal 20	506	aPM_120	aPM_L_120
aPM_L_125_aPM_L_125	1635	15	1531 to 1425	SHCal 20	525	aPM_125	aPM_L_125
aPM_L_134_aPM_L_134	1640	15	1534 to 1425	SHCal 20	528	aPM_134	aPM_L_134
aPM_L_169_aPM_L_169	1700	15	1588 to 1530	SHCal 20	727	aPM_169	aPM_L_169
aCM_H_C6_aCM_H_C6	1745	15	1698 to 1539	SHCal 20	68	aCM_C6	aCM_H_C6
aCM_H_C5_aCM_H_C5	1845	15	1812 to 1634	SHCal 20	61	aCM_C5	aCM_H_C5
aHM_H_EG12_aHM_H_EG12	1880	15		IntCal 13	1190	aHM_EG12	aHM_H_EG12
aHM_H_EG22_aHM_H_EG22	2155	15		IntCal 13	1192	aHM_EG22	aHM_H_EG22
aHM_H_EG16_aHM_H_EG16	2165	15		IntCal 13	1191	aHM_EG16	aHM_H_EG16
aMM_H_JM1_aMM_H_JM1	4460	30		IntCal 13	1193	aMM_JM1	aMM_H_JM1
aPM_L_N16_aPM_L_N16	4849	31		SHCal 04	1189	aPM_N16	aPM_L_N16
