replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
1	4065.600332070029	4400.0	4415.644706041561	4411.547812425909	4131.815663403853	4702.909585290023	0	direct ancient-lineage insertion conditional on modern tree	68360.0	0.0
2	2735.922463459727	1700.0	1590.8415655188714	1642.520745742927	1059.6452341365004	1924.2730411732084	0	direct ancient-lineage insertion conditional on modern tree	51846.0	0.0
3	7807.021721223238	7600.0	7590.427050989023	7628.207149269151	6500.782100463583	8329.114263499627	1	direct ancient-lineage insertion conditional on modern tree	91498.0	0.0
4	8100.098362508335	8600.0	8620.254635006	8619.523682577377	8065.462552380815	9142.189454641064	1	direct ancient-lineage insertion conditional on modern tree	48280.0	0.0
5	9822.242921831079	11850.0	11890.261029527426	11878.021695167543	11234.607472093803	12644.948366384444	0	direct ancient-lineage insertion conditional on modern tree	93107.0	0.0
6	5502.831335451291	5550.0	5363.845470550327	5389.116346127178	4644.497280451154	6023.21307186089	1	direct ancient-lineage insertion conditional on modern tree	41797.0	0.0
7	9215.027682629257	7050.0	6114.7049728643815	6725.059674139388	3118.9374013443385	7886.571952239571	0	direct ancient-lineage insertion conditional on modern tree	51329.0	0.0
8	6506.190193129699	6600.0	6459.4258641615725	6475.838672466582	5846.014432734802	6981.642664882164	1	direct ancient-lineage insertion conditional on modern tree	63104.0	0.0
9	3341.950236721866	4750.0	4695.28973699313	4718.103161031623	4030.4953875182537	5233.873783358991	0	direct ancient-lineage insertion conditional on modern tree	39879.0	0.0
10	6247.42954890013	6100.0	6080.220551582528	6090.733240911759	5675.3318718739265	6427.152307902451	1	direct ancient-lineage insertion conditional on modern tree	24707.0	0.0
11	9316.540678079644	8850.0	8863.584855736539	8864.430543784965	8580.46914695707	9144.872220993355	0	direct ancient-lineage insertion conditional on modern tree	17785.0	0.0
12	7852.024996493639	7350.0	7281.208758566463	7293.204423426619	6564.833722306323	7918.663154554116	1	direct ancient-lineage insertion conditional on modern tree	87863.0	0.0
13	3788.57104514848	3200.0	2942.2870837989026	2982.1297816448687	2206.597227449146	3495.6245157697904	0	direct ancient-lineage insertion conditional on modern tree	18362.0	0.0
14	3202.5687755613103	3450.0	3447.8570952335604	3451.4130025548156	3138.2802767673275	3752.3094992357414	1	direct ancient-lineage insertion conditional on modern tree	32856.0	0.0
15	6590.031813366245	6850.0	6864.4708571947685	6866.259491758895	6471.740456196401	7240.164949445987	1	direct ancient-lineage insertion conditional on modern tree	88230.0	0.0
16	2239.13996986209	2000.0	1987.0525896912325	1984.1664563262934	1807.8971383263572	2184.8949901766086	0	direct ancient-lineage insertion conditional on modern tree	56722.0	0.0
17	5247.6500369306	4400.0	4766.779848926254	4754.063428355932	3957.08860001707	5627.478481660266	1	direct ancient-lineage insertion conditional on modern tree	24067.0	0.0
18	4293.3980068781	3700.0	3680.890958534808	3691.047038832509	3166.145269680514	4148.305220558281	0	direct ancient-lineage insertion conditional on modern tree	27583.0	0.0
19	7943.86663454689	6450.0	6481.660799193405	6473.034815397906	6122.435865343362	6875.985446888305	0	direct ancient-lineage insertion conditional on modern tree	84315.0	0.0
20	8993.382269467127	5750.0	5875.877766983877	5832.665192503179	4815.393776282756	7056.3937329129485	0	direct ancient-lineage insertion conditional on modern tree	46062.0	0.0
21	4297.648329377464	4550.0	4514.190375911769	4529.581588654915	4035.805325462617	4872.968761542409	1	direct ancient-lineage insertion conditional on modern tree	14892.0	0.0
22	990.7745712956226	850.0	871.0172995501425	859.9742048020361	455.1166370253508	1405.3291002927601	1	direct ancient-lineage insertion conditional on modern tree	80625.0	0.0
23	3363.567811240104	3450.0	3458.4952532166185	3460.1283345654006	3058.8495740944954	3859.121887202844	1	direct ancient-lineage insertion conditional on modern tree	42993.0	0.0
24	7808.204198056235	5500.0	5448.506538839767	5484.535097901425	4509.171946450171	5907.087853707032	0	direct ancient-lineage insertion conditional on modern tree	43121.0	0.0
25	2740.8654210092423	3300.0	3253.391772286658	3260.5627492802714	3040.9259423046797	3435.9004077982936	0	direct ancient-lineage insertion conditional on modern tree	29631.0	0.0
26	6474.3736576229185	6250.0	6372.5136454183385	6349.45886058866	5762.943861794781	7067.695486093884	1	direct ancient-lineage insertion conditional on modern tree	41585.0	0.0
27	5107.336074305284	5050.0	5062.181969782773	5052.633672954773	4555.70643822253	5598.001550052006	1	direct ancient-lineage insertion conditional on modern tree	77520.0	0.0
28	5312.0621186322205	4850.0	4865.2043321210995	4871.868116487028	4482.5923603729225	5216.075711178708	0	direct ancient-lineage insertion conditional on modern tree	16997.0	0.0
29	720.2564632425531	0.0	130.2284140099453	110.22029874571624	5.025716878536566	391.17043797366483	0	direct ancient-lineage insertion conditional on modern tree	62486.0	0.0
30	5374.6198121422485	11600.0	11344.011465345997	11394.970043561721	10132.873659725714	12269.681971458367	0	direct ancient-lineage insertion conditional on modern tree	90599.0	0.0
31	4941.135594746445	4200.0	4257.235415550068	4243.626228574318	3820.4609087996673	4728.978117830521	0	direct ancient-lineage insertion conditional on modern tree	12805.0	0.0
32	2117.9917071378304	2500.0	2465.4888966015437	2469.354677460662	2166.2439434102744	2770.7985162889195	0	direct ancient-lineage insertion conditional on modern tree	11002.0	0.0
