replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
1	5457.129834083312	4980.0	4995.632598862001	4994.522653725076	4737.973686835017	5271.883047486392	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
2	4613.21094924136	4640.0	4702.7622370088475	4694.407609033344	4459.151588645196	4967.396523135611	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
3	306.71710297720864	0.0	33.38667134597682	26.921274109724507	1.2165957362291642	123.12906034828498	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
4	4574.385947143199	4580.0	4580.696630090813	4590.62118678817	4200.308715243141	4875.3520699203145	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
5	6305.238944828257	5080.0	5083.292220889776	5088.035153483968	4766.430368121053	5389.588775581456	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
6	3590.973940471097	2880.0	2903.243610036722	2898.2516839343252	2653.989190903853	3158.072157213459	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
7	5526.5449055494155	5380.0	5382.929403088795	5385.547976352576	5134.950064729731	5615.979800861806	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
8	7115.247700782428	7200.0	7146.586589518841	7160.264363967329	6830.329866331566	7396.273933716504	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
9	4722.197404517951	4840.0	4850.8850758659755	4844.6270184597715	4593.351687880655	5136.908074484426	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
10	1769.7967554172012	1680.0	1689.0211210351692	1689.5495643825338	1469.8985851110097	1896.24929693977	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
11	3697.8608422624284	4620.0	4592.085950806345	4600.857058403921	4393.518635783488	4741.586325499717	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
12	9982.416264788046	10000.0	9849.181537265906	9875.248517582126	9558.159669140281	9994.3340988595	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
13	1256.6563259747154	1320.0	1290.0772406077087	1295.5929371377238	1096.262017869061	1467.5485867617108	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
14	6330.208425442493	6320.0	6383.107015523486	6367.809046525601	6116.225275255009	6697.755710799482	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
15	4617.853147106985	4560.0	4388.852528821913	4445.885673808747	3838.6091735697023	4776.374513152244	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
16	6791.025341926732	5840.0	5928.457181979793	5920.598356729771	5529.634056982715	6336.90454849437	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
17	2196.6400491452187	2980.0	2957.3279048430372	2962.29925707527	2875.2528701175956	3013.366346830597	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
18	761.8827357512791	1220.0	1220.0698695242818	1220.3493811315966	1030.9480304427457	1414.4660606005245	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
19	7856.869586366289	7880.0	7833.352017780115	7835.568132471603	7499.389185036062	8136.395886938315	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
20	4209.700425605032	3360.0	3381.5896194876473	3375.6697323512585	3110.0017356012827	3688.3649942012134	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
21	6088.305737095105	5780.0	5784.07224940715	5781.749467189306	5516.383221214088	6059.908188449585	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
22	4340.002403204779	5380.0	5389.182150540364	5390.983700632297	5165.053645212495	5599.2610656025745	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
23	4155.374331216571	3980.0	3952.844989902331	3961.922121835212	3696.3840756059312	4171.011500565539	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
24	7937.567624899795	7480.0	7455.188961739128	7456.214214030583	7143.692735872678	7763.506981284734	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
25	6605.768490948629	6460.0	6449.245195024497	6454.0515379330345	6149.279845164483	6722.334235245964	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
26	6596.212207693646	6880.0	6901.813375219503	6893.780523732333	6643.873442930102	7192.681902407203	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
27	8286.089581278371	7400.0	7370.216161071132	7380.930920545588	6999.2819761148185	7698.445692947872	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
28	4625.6943584920955	4180.0	4201.786443981238	4198.717345624668	3977.804013427883	4431.46283161057	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
29	2991.844945926866	2160.0	2199.407914491359	2194.504445810034	1946.8581823433356	2470.058065356648	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
30	5481.45052326514	4780.0	4787.772427613528	4784.02873036479	4544.091545200991	5053.702604222746	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
31	2025.7722245047105	2340.0	2331.5373027478777	2334.6834948960764	2083.3796731353455	2556.415481254657	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
32	5824.230549722449	5820.0	5778.459222183777	5783.962110595338	5520.90893642222	6016.03667092418	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
33	3181.1789146713677	3020.0	3013.5236310898617	3012.950413851167	2769.420415111074	3264.498708575569	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
34	5525.111892095691	5740.0	5716.066504630133	5720.123671360777	5460.099887662619	5954.462182552112	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
35	7333.636819351961	6160.0	6162.867299761789	6160.620303232998	5896.231399841831	6427.752803826023	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
36	1940.2963018844832	2380.0	2384.799064464381	2383.1729326201244	2145.8350474835092	2629.751993715562	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
37	6189.967076113928	5640.0	5595.029528714188	5603.833859418177	5253.473696563724	5889.459446535037	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
38	2845.151962257364	3160.0	3123.3213322695474	3126.745075418822	2867.069185580936	3372.5697844939746	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
39	8142.664914288693	8980.0	8996.021679244608	8994.671486633419	8715.823563398537	9280.126842762904	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
40	5759.429868344379	5580.0	5619.307327464649	5611.529470308007	5318.031709866596	5942.9293731399575	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
41	7058.752497116681	6680.0	6694.708895143609	6681.299496458631	6357.429163493244	7073.268063306635	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
42	3788.7428265730837	4160.0	4154.884787384927	4158.990125793522	3870.9065762176474	4389.656052793256	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
43	8124.986364640877	8240.0	8230.657911659577	8230.606930340153	7936.390366064489	8526.638944704682	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
44	26.295689735018613	580.0	563.6387012800253	565.0809308331916	384.3495796836792	733.5820289458757	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
45	8503.737168999543	8780.0	8758.503258788045	8764.020020099468	8406.221124206406	9078.608801359358	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
46	8875.641207221639	8980.0	8905.44089254168	8921.49968138624	8540.589743915718	9219.849554194374	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
47	8907.387562275959	8900.0	8880.8153804803	8885.254481118398	8534.81501226778	9212.12387354444	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
48	2596.204001529274	2760.0	2756.8167168118916	2758.5290282795845	2560.4689475831938	2931.3180291987446	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
49	789.6148883857601	800.0	875.7430143491895	856.0831174535616	666.479579519746	1138.9025770949856	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
50	321.95976705287177	740.0	740.9763725446587	741.3366205503229	570.3376911586194	912.5985778331487	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
51	9321.289038678013	9280.0	9338.642621001849	9316.937375752826	8967.011230090073	9783.620902695713	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
52	3090.8906253398604	2940.0	2884.6350230028806	2893.80906276959	2615.6497436839445	3095.0092275733396	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
53	860.649278007638	200.0	209.85647811114342	207.02819255698697	44.08030349259583	391.6108766229931	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
54	1216.495020089119	1100.0	1120.8274575187975	1119.0906065203515	910.2569819811458	1319.3523990845981	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
55	5306.731013155382	5400.0	5376.263949833115	5382.031768856916	5086.202719214255	5630.142355522785	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
56	4903.607778618312	4860.0	4896.1725232916515	4884.903863113363	4668.924787279776	5166.570822500813	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
57	4937.1329232790895	4960.0	4958.144576709409	4953.555814218946	4709.072752838487	5223.173601690349	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
58	9088.213034648175	10000.0	9952.021835324986	9963.042556301447	9833.121087616191	9998.389875410072	0	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
59	1119.168941405968	1220.0	1200.396551904913	1198.4212363129182	1005.4185318924642	1410.7007233701895	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
60	4308.80207772411	4080.0	4077.9563683473366	4087.195652697239	3698.4847669880814	4394.3696768768605	1	direct ancient-lineage insertion conditional on modern tree	50000.0	0.0
