replicate	ancient_sample	true_T	map_T	mean_T	ci95_lower_T	ci95_upper_T	contains_true_95	error	abs_error	min_ne_to_T	geomean_ne_to_T	sd_log_ne_to_T	global_min_ne	global_log_ne_range	realised_epsilon
1	ancient_01	54.39919226316703	0.0	15.84715045119017	0.7772390692457056	69.14479987050055	1	-54.39919226316703	54.39919226316703	28385.306237716748	28385.306237716748	0.0	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_02	2085.935162183402	1340.0	1500.5093070255452	819.9621168305808	2281.5188915719796	1	-745.9351621834021	745.9351621834021	15362.1777452174	75984.09184722746	0.7173092060705079	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_03	3305.8587412473626	3440.0	3456.0356194002043	2862.142013569532	3754.91612890155	1	134.14125875263744	134.14125875263744	15362.1777452174	88376.20703292303	0.7111070854336461	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_04	3618.761894321456	1760.0	1808.9655199747576	1142.4576070297198	2689.5438684550795	0	-1858.761894321456	1858.761894321456	15362.1777452174	78029.71592695887	0.7910408312051913	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_05	5179.084996569889	4480.0	4525.6462047992045	4264.58926735965	4818.078101706225	0	-699.084996569889	699.084996569889	15362.1777452174	52497.491710328475	0.8952734408950987	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_06	5780.166593089313	5820.0	5865.955915678228	5593.585168302119	6153.390106011407	1	39.83340691068679	39.83340691068679	15362.1777452174	47711.88328704484	0.8926853441585659	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_07	5897.771670790655	6880.0	6650.108966014088	5942.995926387127	7278.387277622462	0	982.2283292093452	982.2283292093452	15362.1777452174	46934.71998055079	0.8912085009713038	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_08	7214.296980135272	7640.0	7668.990950719386	7464.223000541712	7962.278855110208	0	425.70301986472805	425.70301986472805	15362.1777452174	40506.39333196086	0.8640066407629992	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_09	7664.058936137278	7340.0	7273.770133901862	6957.442263097141	7530.437979510771	0	-324.05893613727767	324.05893613727767	8869.569891118203	38253.308077325884	0.8748114364504592	8869.569891118203	2.8101546429294686	0.010085343417825021
1	ancient_10	9632.544490412174	10000.0	9948.608775565905	9838.632386311405	9998.057790377698	0	367.4555095878259	367.4555095878259	8869.569891118203	28375.892384592848	0.9778813046092818	8869.569891118203	2.8101546429294686	0.010085343417825021
2	ancient_01	87.14738708744174	520.0	481.3157367550516	321.22254628715586	573.7431900828731	0	432.85261291255824	432.85261291255824	8799.021119301475	8799.021119301475	0.0	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_02	1216.3961262037226	2440.0	2366.5626886762116	1924.952401665913	2800.737752815886	0	1223.6038737962774	1223.6038737962774	6380.9126493008025	13348.873809652498	0.8951610434666071	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_03	1249.350900313847	1280.0	1276.8204051839562	1242.0553115830173	1308.6736743245538	1	30.649099686153022	30.649099686153022	6380.9126493008025	13091.487718450473	0.8911613934240522	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_04	1966.7616878650686	1940.0	2203.619021784443	1634.3707389352744	2826.293170492068	1	-26.761687865068552	26.761687865068552	6380.9126493008025	23089.32827446694	1.1471325552317693	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_05	2240.9187147655653	1360.0	1524.9790461040643	1319.2076965583037	1906.6470407048976	0	-880.9187147655653	880.9187147655653	6380.9126493008025	27037.943518800133	1.1548668546987053	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_06	3984.817952353994	4160.0	4161.726170900187	4043.321267054424	4275.692980248856	0	175.18204764600614	175.18204764600614	6380.9126493008025	29960.627852792946	1.076514547992952	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_07	6306.1309440040795	6480.0	6468.6484098753335	6316.796636373498	6618.250194282775	0	173.86905599592046	173.86905599592046	6380.9126493008025	21718.516569745436	0.9539231606773713	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_08	8304.39202849537	8200.0	8178.866596951338	7670.30775005769	8663.872828773732	1	-104.39202849536923	104.39202849536923	6380.9126493008025	21984.48832083587	0.906081314607453	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_09	9505.813529503288	9660.0	9649.206307092129	9240.078326634004	9970.683091796149	1	154.186470496712	154.186470496712	6380.9126493008025	24730.294198373464	0.9016448533575436	6380.9126493008025	3.110817151489714	0.009961215816016753
2	ancient_10	9917.327495029995	10000.0	9929.683690344757	9744.684595711182	9997.907988398214	1	82.67250497000532	82.67250497000532	6380.9126493008025	25579.335155501256	0.8975249119991273	6380.9126493008025	3.110817151489714	0.009961215816016753
3	ancient_01	2476.8356544678695	2280.0	2292.409088435155	2054.680184100284	2524.9224249919234	1	-196.83565446786952	196.83565446786952	29711.7480900081	51150.37661223412	0.5685353745164742	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_02	3001.8105180693433	2520.0	2547.0688227258993	2281.1537890163722	2873.307582652974	0	-481.8105180693433	481.8105180693433	29711.7480900081	46514.633364207126	0.5561350847894704	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_03	3093.42433061231	2920.0	2901.0076029702773	2669.619927121403	3140.5099777362884	1	-173.42433061230986	173.42433061230986	29711.7480900081	45901.25667951982	0.553082492308906	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_04	3349.4140359002668	4500.0	4535.945118499308	3856.939712838438	5171.595388023454	0	1150.5859640997332	1150.5859640997332	29711.7480900081	46475.909896031335	0.5426219060802366	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_05	3687.5084200809415	3580.0	3604.0734767552954	3135.97660732606	4135.042600703685	1	-107.5084200809415	107.5084200809415	29711.7480900081	48080.809972633506	0.5280723465649041	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_06	5444.74218533415	5160.0	5192.947752749575	4602.624735329565	5918.139537142448	1	-284.74218533415024	284.74218533415024	29711.7480900081	53593.52621498678	0.4621530394563523	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_07	7086.621502023565	7940.0	7943.610893010457	7778.035398301604	8108.647118976	0	853.378497976435	853.378497976435	29711.7480900081	56497.80448482241	0.416336503982734	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_08	7403.447751628025	6380.0	6373.774595363224	5812.22118656106	6990.705391093476	0	-1023.4477516280249	1023.4477516280249	29711.7480900081	56922.519842935035	0.40886775544974363	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_09	7693.605031340512	7880.0	7887.211381775278	7725.102021316129	8052.439745287932	0	186.39496865948786	186.39496865948786	11725.463963705122	54805.74784996391	0.47216335006713717	7975.3023499114815	2.9008174680595467	0.010176786642786989
3	ancient_10	9532.467172330298	9720.0	9724.74788363727	9528.850255749849	9909.423296968482	1	187.53282766970187	187.53282766970187	11725.463963705122	40704.11136365583	0.7417198895137305	7975.3023499114815	2.9008174680595467	0.010176786642786989
4	ancient_01	614.2917898252554	480.0	385.37733690186246	84.3215759903012	610.529558334788	0	-134.29178982525536	134.29178982525536	13071.338526598263	52655.96325428332	0.6223908920864459	6463.220839284853	2.746656719771332	0.010099902056807051
4	ancient_02	2320.1640625735176	2460.0	2449.720643926756	2337.137749521702	2540.1704559973	0	139.83593742648236	139.83593742648236	8827.097580244998	15996.665173139103	0.8008365232476022	6463.220839284853	2.746656719771332	0.010099902056807051
4	ancient_03	4347.812452390103	5300.0	5270.941635186113	4146.765915956461	6454.740545976548	1	952.1875476098967	952.1875476098967	8827.097580244998	23548.289058982406	1.0884692782449337	6463.220839284853	2.746656719771332	0.010099902056807051
4	ancient_04	4408.43570517544	5480.0	5626.705431762486	4432.940328228201	6958.844561990272	0	1071.5642948245604	1071.5642948245604	8827.097580244998	24023.78465376485	1.094136682744117	6463.220839284853	2.746656719771332	0.010099902056807051
