T	log_posterior	density
0	-45289.4	1.92523e-37
20	-45288.6	4.35726e-37
40	-45287.4	1.32655e-36
60	-45286.6	3.00543e-36
80	-45285.7	7.37774e-36
100	-45284.9	1.63735e-35
120	-45283.9	4.43976e-35
140	-45283	1.14226e-34
160	-45282.4	2.12713e-34
180	-45281.3	6.08091e-34
200	-45280.2	1.9375e-33
220	-45279.4	3.92531e-33
240	-45278.9	6.4974e-33
260	-45278	1.64786e-32
280	-45276.8	5.3123e-32
300	-45276.1	1.10768e-31
320	-45275.4	2.30479e-31
340	-45274.5	5.48172e-31
360	-45273.7	1.18486e-30
380	-45273	2.58574e-30
400	-45272.1	6.32131e-30
420	-45271.3	1.39973e-29
440	-45270.2	4.05552e-29
460	-45269.4	9.19601e-29
480	-45268.9	1.5342e-28
500	-45267.8	4.40568e-28
520	-45267.3	7.68814e-28
540	-45266.3	1.93352e-27
560	-45265.6	4.19841e-27
580	-45265	7.40792e-27
600	-45264.2	1.67675e-26
620	-45263.4	3.81732e-26
640	-45262.7	7.48146e-26
660	-45261.8	1.73665e-25
680	-45261	4.02941e-25
700	-45260.3	7.7307e-25
720	-45259.7	1.491e-24
740	-45258.8	3.46314e-24
760	-45258.2	6.75031e-24
780	-45257.3	1.54929e-23
800	-45256.7	3.11465e-23
820	-45255.9	6.35529e-23
840	-45255.3	1.25519e-22
860	-45254.6	2.49756e-22
880	-45254	4.37386e-22
900	-45253.5	7.42186e-22
920	-45252.6	1.79483e-21
940	-45251.9	3.50106e-21
960	-45251.4	6.23862e-21
980	-45250.7	1.17929e-20
1000	-45249.9	2.67063e-20
1020	-45249.3	4.68619e-20
1040	-45248.6	9.39315e-20
1060	-45248.1	1.67184e-19
1080	-45247.5	3.02886e-19
1100	-45246.8	5.65877e-19
1120	-45246.4	8.64369e-19
1140	-45245.4	2.42339e-18
1160	-45244.9	4.00851e-18
1180	-45244.3	7.14645e-18
1200	-45243.8	1.19371e-17
1220	-45243.4	1.81213e-17
1240	-45242.6	4.06914e-17
1260	-45241.7	9.39273e-17
1280	-45241.5	1.14143e-16
1300	-45241.1	1.82169e-16
1320	-45240.5	3.09521e-16
1340	-45239.3	1.09234e-15
1360	-45239.3	1.07436e-15
1380	-45238.6	2.13305e-15
1400	-45238.2	3.37456e-15
1420	-45237.6	5.81001e-15
1440	-45237.5	6.19477e-15
1460	-45236.5	1.72224e-14
1480	-45236.1	2.68892e-14
1500	-45235.5	4.68232e-14
1520	-45235.1	7.29094e-14
1540	-45234.9	8.55067e-14
1560	-45233.9	2.27136e-13
1580	-45233.6	3.10984e-13
1600	-45232.9	6.49302e-13
1620	-45232.5	9.82397e-13
1640	-45231.9	1.78612e-12
1660	-45231.4	2.88023e-12
1680	-45231	4.29028e-12
1700	-45231	4.41425e-12
1720	-45230	1.12722e-11
1740	-45229.8	1.38248e-11
1760	-45229.7	1.53647e-11
1780	-45228.9	3.41111e-11
1800	-45228.6	4.61525e-11
1820	-45228.1	7.49554e-11
1840	-45227.8	1.01535e-10
1860	-45227.3	1.72262e-10
1880	-45227.5	1.46524e-10
1900	-45226.5	3.91238e-10
1920	-45226.2	5.23536e-10
1940	-45225.8	8.07985e-10
1960	-45225.7	8.76269e-10
1980	-45225.2	1.37771e-09
2000	-45224.8	2.15746e-09
2020	-45224.5	3.00559e-09
2040	-45223.9	4.97699e-09
2060	-45223.4	8.94152e-09
2080	-45223.4	8.52577e-09
2100	-45222.8	1.59461e-08
2120	-45222.4	2.30752e-08
2140	-45222	3.34095e-08
2160	-45221.9	3.72554e-08
2180	-45221.4	6.2554e-08
2200	-45221.4	6.39786e-08
2220	-45220.4	1.64627e-07
2240	-45220.5	1.62133e-07
2260	-45220.5	1.53118e-07
2280	-45220	2.57324e-07
2300	-45219.9	2.79433e-07
2320	-45219.3	5.41024e-07
2340	-45219.2	5.46855e-07
2360	-45219	7.24282e-07
2380	-45218.9	7.93494e-07
2400	-45218.6	1.07154e-06
2420	-45218.4	1.23871e-06
2440	-45218.1	1.67723e-06
2460	-45217.7	2.49047e-06
2480	-45217.4	3.43687e-06
2500	-45217.1	4.48179e-06
2520	-45217	5.22893e-06
2540	-45216.7	6.83856e-06
2560	-45216.7	6.86386e-06
2580	-45216.2	1.10792e-05
2600	-45215.9	1.49459e-05
2620	-45216.2	1.1787e-05
2640	-45215.6	2.01808e-05
2660	-45215.5	2.41513e-05
2680	-45215.1	3.59629e-05
2700	-45215	3.76695e-05
2720	-45214.5	6.00636e-05
2740	-45214.6	5.91972e-05
2760	-45214.5	6.24886e-05
2780	-45214.4	7.29021e-05
2800	-45214.2	8.55592e-05
2820	-45213.9	0.000116516
2840	-45213.8	0.000131686
2860	-45213.8	0.000125433
2880	-45213.5	0.00016394
2900	-45213.8	0.000126233
2920	-45213.1	0.000257639
2940	-45212.9	0.000315151
2960	-45213	0.000281743
2980	-45212.8	0.000358809
3000	-45212.7	0.000389416
3020	-45212.4	0.000538558
3040	-45212.6	0.000434772
3060	-45212.4	0.000534388
3080	-45212.3	0.00054722
3100	-45212.2	0.000602662
3120	-45211.9	0.000822616
3140	-45212.2	0.000654001
3160	-45211.8	0.000913511
3180	-45212	0.000801698
3200	-45211.8	0.00094837
3220	-45211.7	0.00103156
3240	-45211.6	0.00112041
3260	-45211.7	0.000991316
3280	-45211.7	0.00105454
3300	-45211.6	0.00109995
3320	-45211.3	0.00150919
3340	-45211.6	0.00110869
3360	-45211.6	0.00117658
3380	-45211.8	0.000930041
3400	-45211.5	0.00124463
3420	-45211.5	0.00124268
3440	-45211.4	0.0014371
3460	-45211.5	0.00123088
3480	-45211.6	0.00117089
3500	-45211.4	0.00136644
3520	-45211.5	0.00120835
3540	-45211.6	0.00118439
3560	-45211.3	0.00150924
3580	-45211.5	0.00132755
3600	-45211.6	0.00111434
3620	-45211.4	0.00138423
3640	-45211.5	0.00131493
3660	-45211.8	0.00097572
3680	-45211.8	0.000945578
3700	-45211.5	0.00126649
3720	-45211.7	0.00105141
3740	-45211.8	0.00089254
3760	-45212.2	0.000640027
3780	-45212.2	0.000598114
3800	-45212.1	0.000694778
3820	-45212.1	0.000729748
3840	-45212.2	0.000656894
3860	-45212.2	0.000599119
3880	-45212.2	0.000602451
3900	-45212.3	0.000591733
3920	-45212.8	0.000352777
3940	-45212.7	0.000365658
3960	-45212.8	0.000333507
3980	-45212.8	0.000330629
4000	-45213	0.000274916
4020	-45213.2	0.000227759
4040	-45213.3	0.00021097
4060	-45213.4	0.000192547
4080	-45213.5	0.000170671
4100	-45213.7	0.000137734
